"Update the Apertium TinyLex J2ME apps for en-ca","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for English Catalan and ",96,jimregan,Medium,Code,"tinylex, dictionary, English Catalan, "
"Create an Apertium TinyLex J2ME app for en-ca@val","Create <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for English and Valencian (en-ca)",96,jimregan,Medium,Code,"tinylex, dictionary, English, Valencian"
"Update the Apertium TinyLex J2ME apps for en-es","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for English and Spanish",96,jimregan,Medium,Code,"tinylex, dictionary, English, Spanish"
"Update the Apertium TinyLex J2ME apps for eo-ca","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for Esperanto and Catalan",96,jimregan,Medium,Code,"tinylex, dictionary, Esperanto, Catalan"
"Update the Apertium TinyLex J2ME apps for eo-es","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for Esperanto and Spanish",96,jimregan,Medium,Code,"tinylex, dictionary, Esperanto, Spanish"
"Update the Apertium TinyLex J2ME apps for es-ca","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for English and Catalan",96,jimregan,Medium,Code,"tinylex, dictionary, English, Catalan"
"Update the Apertium TinyLex J2ME apps for es-gl","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for Spanish and Galician",96,jimregan,Medium,Code,"tinylex, dictionary, Spanish, Galician"
"Update the Apertium TinyLex J2ME apps for eu-es","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for Basque and Spanish",96,jimregan,Medium,Code,"tinylex, dictionary, Basque, Spanish"
"Update the Apertium TinyLex J2ME apps for fr-ca","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for French and Catalan",96,jimregan,Medium,Code,"tinylex, dictionary, French, Catalan"
"Update the Apertium TinyLex J2ME apps for fr-es","Update <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for French and Spanish",96,jimregan,Medium,Code,"tinylex, dictionary, French, Spanish"
"Create an Apertium TinyLex J2ME app for eu-en","Create <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for Basque and English",96,jimregan,Medium,Code,"tinylex, dictionary, Basque, English"
"Create an Apertium TinyLex J2ME app for es-an","Create <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for Spanish and Aragonese",96,jimregan,Medium,Code,"tinylex, dictionary, Spanish, Aragonese"
"Create an Apertium TinyLex J2ME app for en-it","Create <a href='http://www.tinylex.com'>Apertium TinyLex</a> J2ME packages to contain the most recent versions of the dictionaries for English and Italian",96,jimregan,Medium,Code,"tinylex, dictionary, English, Italian"
